date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2023-04-06,705.0,705.0,693.0,697.0,0.11,30695.0,21392697.0,2023,39.65,19.8,17.58,30.53
2023-04-09,697.0,698.0,690.0,693.0,-0.57,35930.0,24855264.0,2023,39.65,19.8,17.58,30.53
2023-04-10,688.0,695.9,688.0,693.0,0.0,39095.0,27027964.7,2023,39.65,19.8,17.58,30.53
2023-04-11,700.0,704.0,692.3,697.5,0.65,24498.0,17102421.1,2023,39.65,19.8,17.58,30.53
2023-04-12,704.0,735.0,704.0,730.0,4.66,87390.0,62950442.3,2023,39.65,19.8,17.58,30.53
2023-04-13,735.0,740.0,719.0,722.0,-1.1,73696.0,53516887.5,2023,39.65,19.8,17.58,30.53
2023-04-16,730.0,766.0,721.0,733.0,1.52,50033.0,36498750.7,2023,39.65,19.8,17.58,30.53
2023-04-17,730.0,738.0,727.4,728.0,-0.68,42664.0,31156743.4,2023,39.65,19.8,17.58,30.53
2023-04-18,726.0,739.0,722.1,735.0,0.96,36250.0,26578451.9,2023,39.65,19.8,17.58,30.53
2023-04-19,741.8,742.0,731.0,740.7,0.78,43290.0,31856534.8,2023,39.65,19.8,17.58,30.53
2023-04-20,755.5,755.5,729.0,734.0,-0.9,78369.0,57543425.2,2023,39.65,19.8,17.58,30.53
2023-04-23,735.0,736.0,722.2,723.0,-1.5,32862.0,23896535.1,2023,39.65,19.8,17.58,30.53
2023-04-24,724.0,724.0,717.0,717.0,-0.83,26276.0,18900536.4,2023,39.65,19.8,17.58,30.53
2023-04-25,724.9,735.0,718.0,735.0,2.51,23019.0,16694990.5,2023,39.65,19.8,17.58,30.53
2023-04-26,735.0,736.0,724.0,724.0,-1.5,32344.0,23689485.5,2023,39.65,19.8,17.58,30.53
2023-04-27,725.0,726.5,720.0,725.0,0.14,19375.0,13995842.8,2023,39.65,19.8,17.58,30.53
2023-04-30,726.0,736.6,717.1,720.0,-0.69,15050.0,10875452.7,2023,39.65,19.8,17.58,30.53
2023-05-02,729.0,729.0,714.0,714.0,-0.83,18441.0,13206469.3,2023,39.65,19.8,17.58,30.53
2023-05-03,715.0,715.0,710.1,712.6,-0.2,14729.0,10489802.8,2023,39.65,19.8,17.58,30.53
2023-05-04,720.0,723.0,707.0,717.0,0.62,22581.0,16085319.3,2023,39.65,19.8,17.58,30.53
2023-05-07,717.0,723.0,709.2,714.9,-0.29,21718.0,15470632.2,2023,39.65,19.8,17.58,30.53
2023-05-08,712.0,719.0,706.5,708.0,-0.97,27837.0,19722203.9,2023,39.65,19.8,17.58,30.53
2023-05-09,708.2,720.0,700.1,711.9,0.55,20728.0,14742185.0,2023,39.65,19.8,17.58,30.53
2023-05-10,719.0,719.0,709.0,709.0,-0.41,17826.0,12671947.4,2023,39.65,19.8,17.58,30.53
2023-05-11,709.9,711.9,707.0,709.0,0.0,22977.0,16283908.3,2023,39.65,19.8,17.58,30.53
2023-05-14,717.0,717.0,699.0,699.0,-1.41,65044.0,45754704.9,2023,39.65,19.8,17.58,30.53
2023-05-15,699.1,706.0,693.1,694.6,-0.63,43687.0,30467469.3,2023,39.65,19.8,17.58,30.53
2023-05-16,695.3,704.0,689.3,690.0,-0.66,72505.0,50146361.2,2023,39.65,19.8,17.58,30.53
2023-05-17,690.0,704.5,690.0,700.0,1.45,68132.0,47417924.5,2023,39.65,19.8,17.58,30.53
2023-05-18,700.0,709.5,698.1,708.5,1.21,96034.0,67671776.8,2023,39.65,19.8,17.58,30.53
2023-05-21,712.0,715.0,705.0,708.0,-0.07,48741.0,34569973.3,2023,39.65,19.8,17.58,30.53
2023-05-22,708.0,709.9,700.0,705.9,-0.3,68416.0,48339819.3,2023,39.65,19.8,17.58,30.53
2023-05-23,712.0,724.0,710.0,721.0,2.14,100970.0,72361213.4,2023,39.65,19.8,17.58,30.53
2023-05-24,725.0,759.0,717.1,733.5,1.73,37135.0,27137295.2,2023,39.65,19.8,17.58,30.53
2023-05-28,735.0,747.0,723.0,725.2,-1.13,57567.0,42269480.0,2023,39.65,19.8,17.58,30.53
2023-05-30,721.7,725.0,700.0,715.0,-1.41,66387.0,47329158.1,2023,39.65,19.8,17.58,30.53
